# ENERGY SUPPLY GROUP 28,
# Wind park in Luxemburg with 140 turbines.,
#,
# time [s], power [MW]
383400,74.942769
384300,81.020103
385200,81.020103
386100,81.020103
387000,81.020103
387900,87.345458
388800,87.345458
389700,87.345458
390600,81.020103
391500,81.020103
392400,74.942769
393300,74.942769
394200,81.020103
395100,81.020103
396000,81.020103
396900,74.942769
397800,74.942769
398700,74.942769
399600,74.942769
400500,74.942769
401400,74.942769
402300,69.108495
403200,69.108495
404100,69.108495
405000,63.51232
405900,63.51232
406800,58.149286
407700,58.149286
408600,58.149286
409500,53.01443
410400,53.01443
411300,53.01443
412200,53.01443
413100,53.01443
414000,53.01443
414900,48.102793
415800,48.102793
416700,48.102793
417600,48.102793
418500,43.409414
419400,43.409414
420300,43.409414
421200,43.409414
422100,38.929333
423000,38.929333
423900,38.929333
424800,38.929333
425700,38.929333
426600,38.929333
427500,38.929333
428400,34.657589
429300,34.657589
430200,34.657589
431100,34.657589
432000,34.657589
432900,34.657589
433800,30.589223
434700,30.589223
435600,30.589223
436500,30.589223
437400,30.589223
438300,26.719273
439200,26.719273
440100,26.719273
441000,23.042779
441900,23.042779
442800,23.042779
443700,19.554781
444600,19.554781
445500,19.554781
446400,16.250318
447300,13.12443
448200,10.172157
449100,7.388537
450000,7.388537
450900,4.768612
451800,2.307419
452700,2.307419
453600,0
454500,0
455400,0
456300,0
457200,0
458100,0
459000,2.307419
459900,2.307419
460800,4.768612
461700,7.388537
462600,7.388537
463500,10.172157
464400,10.172157
465300,10.172157
466200,13.12443
467100,13.12443
468000,13.12443
468900,13.12443
469800,13.12443
470700,16.250318
471600,16.250318
472500,16.250318
473400,16.250318
474300,13.12443
475200,13.12443
476100,13.12443
477000,10.172157
477900,7.388537
478800,7.388537
479700,2.307419
480600,0
481500,0
482400,0
483300,0
484200,0
485100,0
486000,0
486900,0
487800,0
488700,0
489600,0
490500,0
491400,0
492300,0
493200,0
494100,0
495000,0
495900,0
496800,0
497700,0
498600,0
499500,0
500400,0
501300,0
502200,0
503100,0
504000,0
504900,0
505800,0
506700,0
507600,0
508500,0
509400,0
510300,0
511200,0
512100,0
513000,0
513900,0
514800,0
515700,0
516600,0
517500,0
518400,0
519300,0
520200,0
521100,0
522000,0
522900,0
523800,0
524700,0
525600,0
526500,0
527400,0
528300,0
529200,0
530100,0
531000,0
531900,0
532800,0
533700,0
534600,0
535500,0
536400,0
537300,0
538200,0
539100,0
540000,0
540900,0
541800,0
542700,0
543600,0
544500,0
545400,0
546300,0
547200,0
548100,0
549000,0
549900,0
550800,0
551700,0
552600,0
553500,0
554400,0
555300,0
556200,0
557100,0
558000,0
558900,0
559800,0
560700,0
561600,0
562500,0
563400,0
564300,0
565200,0
566100,0
567000,0
567900,0
568800,0
569700,0
570600,0
571500,0
572400,0
573300,0
574200,2.307419
575100,7.388537
576000,13.12443
576900,16.250318
577800,23.042779
578700,30.589223
579600,34.657589
580500,43.409414
581400,48.102793
582300,53.01443
583200,63.51232
584100,69.108495
585000,69.108495
585900,74.942769
586800,81.020103
587700,81.020103
588600,87.345458
589500,87.345458
590400,93.923795
591300,100.760073
592200,107.859253
593100,122.86616
594000,130.783808
594900,138.9842
595800,156.253056
596700,165.331442
597600,174.712412
598500,184.400928
599400,184.400928
600300,184.400928
601200,184.400928
602100,184.400928
603000,184.400928
603900,184.400928
604800,174.712412
605700,165.331442
606600,165.331442
607500,156.253056
608400,147.472296
609300,147.472296
610200,147.472296
611100,138.9842
612000,138.9842
612900,138.9842
613800,130.783808
614700,130.783808
615600,122.86616
616500,122.86616
617400,115.226295
618300,107.859253
619200,107.859253
620100,107.859253
621000,107.859253
621900,107.859253
622800,115.226295
623700,115.226295
624600,122.86616
625500,122.86616
626400,130.783808
627300,130.783808
628200,130.783808
629100,130.783808
630000,138.9842
630900,138.9842
631800,138.9842
632700,147.472296
633600,147.472296
634500,147.472296
635400,156.253056
636300,156.253056
637200,156.253056
638100,165.331442
639000,165.331442
639900,174.712412
640800,184.400928
641700,194.401951
642600,204.720439
643500,215.361355
644400,226.329658
645300,226.329658
646200,237.630309
647100,249.268269
648000,249.268269
648900,261.248496
649800,261.248496
650700,273.575953
651600,273.575953
652500,286.255599
653400,286.255599
654300,286.255599
655200,286.255599
656100,286.255599
657000,286.255599
657900,273.575953
658800,273.575953
659700,273.575953
660600,261.248496
661500,249.268269
662400,249.268269
663300,237.630309
664200,237.630309
665100,237.630309
666000,226.329658
666900,226.329658
667800,215.361355
668700,215.361355
669600,215.361355
670500,204.720439
671400,204.720439
672300,194.401951
673200,194.401951
674100,194.401951
675000,184.400928
675900,184.400928
676800,184.400928
677700,184.400928
678600,184.400928
679500,184.400928
680400,184.400928
681300,184.400928
682200,184.400928
683100,194.401951
684000,194.401951
684900,194.401951
685800,204.720439
686700,204.720439
687600,204.720439
688500,204.720439
689400,204.720439
690300,204.720439
691200,194.401951
692100,194.401951
693000,184.400928
693900,184.400928
694800,174.712412
695700,174.712412
696600,165.331442
697500,156.253056
698400,147.472296
699300,147.472296
700200,138.9842
701100,130.783808
702000,122.86616
702900,122.86616
703800,115.226295
704700,115.226295
705600,107.859253
706500,107.859253
707400,100.760073
708300,100.760073
709200,93.923795
710100,93.923795
711000,87.345458
711900,81.020103
712800,81.020103
713700,74.942769
714600,69.108495
715500,69.108495
716400,63.51232
717300,63.51232
718200,69.108495
719100,69.108495
720000,74.942769
720900,74.942769
721800,81.020103
722700,81.020103
723600,81.020103
724500,87.345458
725400,93.923795
726300,100.760073
